,X1,X2,X11,X14,X15,X18,X21,X22,X26,X40,X46,X48,X52,X56,X59,X60,X62,X64,X66,X67,X68,X69,X74,X77,X78,X88,X89,X90,X93,X97,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138
hsa-miR-103a-2-5p,0,0,0,0,0,0,2,0,1,4,0,0,0,0,5,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
hsa-miR-103a-3p,2276,4600,1813,976,287,242,1499,2673,947,2723,1081,8467,1281,3801,3555,2032,6644,4133,569,561,1006,1061,179,695,194,909,678,902,2591,172,1241,2394,717,1239,122,75,425,361,335,527,493,290,666,447,461,813,861,1759,886,1256,541,1725,1488,447,3031,500,199,2262,974,942
hsa-miR-103b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-105-5p,0,1,55,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-106a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-106a-5p,1,54,4,14,4,0,12,13,0,11,2,41,5,6,19,8,17,11,3,6,7,4,0,7,1,1,0,7,12,1,9,5,5,13,0,0,1,1,4,8,1,2,0,1,0,0,5,2,0,12,0,10,3,0,0,0,2,10,0,10
hsa-miR-106b-3p,972,1706,348,416,142,29,249,278,297,435,108,1815,362,923,815,549,797,267,162,174,244,323,65,121,19,61,301,171,298,24,582,726,273,289,27,18,93,81,156,196,215,132,290,103,203,223,162,354,288,211,194,624,328,107,1226,137,138,1040,263,583
hsa-miR-106b-5p,26,73,29,19,3,1,22,45,6,22,11,98,20,9,79,49,94,40,10,9,17,24,0,17,0,5,35,26,28,1,12,29,5,17,0,0,1,3,9,8,4,0,6,9,0,0,7,11,14,8,0,16,10,8,25,5,4,30,10,26
hsa-miR-107,52,166,64,30,3,11,91,137,27,102,50,366,42,108,166,74,394,256,21,10,25,30,0,33,0,62,17,38,129,5,61,100,48,66,6,1,28,17,12,34,32,11,36,24,28,31,44,47,37,79,6,69,71,29,103,16,9,53,82,14
hsa-miR-10a-3p,6,11,0,3,0,0,2,0,0,0,1,1,5,1,6,15,19,4,1,3,5,1,0,0,0,0,42,2,3,0,3,7,0,9,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,5,0,0,0,11,0,0,0
hsa-miR-10a-5p,9912,34290,7575,1742,1111,409,1807,2757,1518,2184,1093,11652,2934,5844,9757,7425,6887,3019,988,1513,2980,3480,7996,913,4186,1150,10552,1997,2244,4482,1104,4736,1324,2169,2106,3067,250,203,583,691,1482,917,2090,809,1657,2393,4498,2246,2731,4108,4821,6550,4430,3323,7157,5969,6591,3912,4094,1754
hsa-miR-10b-3p,0,0,0,0,0,0,1,0,0,6,0,4,1,0,0,0,0,0,0,2,0,0,14,0,0,1,10,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,5,0,0,0,6
hsa-miR-10b-5p,38645,115659,20491,5901,3726,1039,3897,3788,6562,6400,2184,30571,9053,17052,29072,23243,15814,3803,2652,5217,8867,10843,43722,2230,30745,3302,35550,6858,5638,29400,3158,10959,2532,4282,11147,17134,421,382,1927,1748,4606,2536,6457,2573,5689,6570,13077,6999,8519,11028,15795,21744,10802,8744,19573,22295,24794,12107,11169,7405
hsa-miR-1178-3p,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1180-3p,19,50,0,20,6,0,16,14,7,6,4,15,13,39,23,11,15,1,4,6,15,11,0,5,0,5,68,31,11,0,23,23,13,23,0,0,5,20,14,19,6,8,14,1,4,9,7,10,5,5,4,10,8,5,10,3,20,59,8,28
hsa-miR-1180-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1185-1-3p,6,0,5,1,0,0,3,18,5,18,12,6,1,7,6,0,20,9,6,0,2,0,0,3,0,1,0,5,0,0,3,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0
hsa-miR-1185-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
hsa-miR-1185-5p,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1193,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1197,0,0,0,0,0,0,0,3,0,10,1,8,1,2,0,0,17,0,1,0,0,0,0,1,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-122-3p,0,0,0,2,0,0,2,0,0,0,0,0,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,4,1,0,4,2,0,4,9,0
hsa-miR-122-5p,147,157,215,34,29,34,55,54,46,23,4,107,49,110,84,27,66,71,48,13,68,54,1061,46,7393,409,191,180,255,7032,15,36,24,8,249,2327,25,15,92,17,31,41,159,116,36,39,40,113,137,50,79,79,14,12,225,126,64,178,263,158
hsa-miR-1224-5p,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,2,3,0,0,1,0,1,0,0,0,0,0,4,4,0,0,3,0,0,0,0,0,8,0,10,7,0,13
hsa-miR-1225-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1226-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-miR-1226-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1227-3p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,3,0,0,0,0,1,4,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
hsa-miR-1228-3p,3,37,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,2,5,0,0,0,0,3,0,3,0,8,1,1,0,0,0,0,2,0,0,3,3,0,1,0,0,9,0,4,7,0,0,0,0,0
hsa-miR-1228-5p,0,12,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
hsa-miR-1229-3p,6,13,0,0,0,0,2,0,0,0,0,1,2,0,0,0,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,0,2,0,0,0,0,1,0,0,1,13,0,0,0,0,9,12,12,4,22,0,0,4,0,0
hsa-miR-1233-3p,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
hsa-miR-1234-3p,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1236-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1237-3p,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,4,0,0,0,0
hsa-miR-1238-3p,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-124-3p,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-124-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1246,1,2,1,0,0,0,0,0,0,1,1,0,4,3,4,2,2,0,2,0,2,2,0,0,2,0,6,1,2,0,0,2,0,1,0,0,0,0,0,0,2,0,1,2,0,5,1,2,0,4,4,0,2,1,8,8,0,6,2,2
hsa-miR-1247-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1247-5p,12,0,0,1,0,0,5,0,0,0,0,4,0,8,0,2,0,1,0,0,1,0,0,1,0,1,3,2,2,0,1,4,0,5,0,0,0,0,0,3,0,3,0,2,0,0,0,4,0,0,4,8,3,0,0,0,0,0,10,0
hsa-miR-1249-3p,0,0,5,0,0,1,1,1,0,2,0,0,5,4,10,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,5,29,2,10,0,0,1,1,0,6,4,2,3,23,10,12,6,15,1,9,22,32,13,21,36,10,8,4,5,0
hsa-miR-1250-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1251-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1252-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1254,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,1,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,7,0,0,0,0,0,0,0,5,0
hsa-miR-1255a,0,0,10,2,0,0,4,0,0,3,0,13,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,3,0,0
hsa-miR-1255b-5p,13,22,8,2,0,0,0,3,2,0,0,0,0,0,2,6,7,0,0,1,2,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,9,0,3,0,0,0
hsa-miR-1256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-125a-3p,8,0,11,1,0,0,6,6,3,2,0,0,1,0,3,0,0,3,0,0,3,3,0,1,0,0,1,0,1,0,0,3,0,6,0,0,0,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,2,0,26,0,1,0,0,0
hsa-miR-125a-5p,308,1436,568,69,45,35,184,303,113,319,87,1016,156,331,464,299,573,166,48,53,102,106,208,62,167,86,118,134,158,150,131,592,141,352,138,215,56,28,69,153,99,93,113,86,94,164,196,157,201,148,246,347,316,183,356,216,55,225,186,68
hsa-miR-125b-1-3p,12,9,2,0,0,1,0,0,2,0,2,0,0,1,19,0,0,0,0,0,1,3,0,1,3,0,8,1,2,0,2,1,1,5,9,0,0,1,1,2,0,0,0,0,0,0,0,0,3,0,0,14,0,4,7,9,4,5,0,0
hsa-miR-125b-2-3p,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,4,2,1,0,4,2,0,0,18,1,4,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,2,9,0,2,0,0,0
hsa-miR-125b-5p,36,61,56,13,5,5,11,14,13,16,2,51,12,85,32,33,34,18,3,2,23,9,23,2,1,14,114,19,16,9,15,39,10,32,0,0,7,0,7,3,4,3,12,8,14,13,26,14,32,7,15,64,20,10,59,39,27,47,24,17
hsa-miR-126-3p,1479,4913,1971,580,242,255,1328,2460,583,1789,876,3145,940,1764,2602,2087,5026,3201,417,427,1092,752,51,1016,28,1179,1069,1150,1881,14,495,2054,373,808,9,7,213,178,154,397,225,169,319,230,241,452,486,650,517,750,507,516,596,240,1061,366,141,592,289,240
hsa-miR-126-5p,15029,47884,22530,3646,1993,1912,11355,18757,3169,14505,6345,26389,5950,14794,19793,14753,35490,24547,2982,3166,6352,5071,722,4699,658,4688,6083,6320,10890,515,1615,6698,1975,4145,106,176,630,674,830,1990,1454,1176,2196,1077,1452,2595,3823,4852,4034,6171,2914,3741,4445,1786,4924,2134,1269,3501,2871,2273
hsa-miR-1260a,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0
hsa-miR-1260b,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,4,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,0,9,10,0,1,0,0,0,2,0,0
hsa-miR-1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
hsa-miR-1262,8,14,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
hsa-miR-1269a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1269b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-127-3p,383,300,2550,66,6,82,232,1045,128,628,330,485,159,445,699,41,801,808,112,46,90,69,327,158,83,113,43,175,118,399,90,253,155,396,106,58,43,92,98,205,162,52,309,98,222,63,89,186,531,355,76,300,856,122,335,90,46,283,64,74
hsa-miR-127-5p,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1270,13,0,0,1,0,0,0,1,0,3,0,14,0,0,0,0,5,0,0,0,0,0,0,2,0,0,1,2,3,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,21,0,0,0,0,0
hsa-miR-1271-5p,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hsa-miR-1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1273c,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1273d,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1273f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1273g-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1273h-3p,34,20,32,9,0,2,29,41,7,52,20,91,7,77,31,25,148,123,6,3,27,7,1,11,8,14,5,14,57,0,6,59,7,28,11,10,7,3,5,19,5,8,17,7,18,39,15,15,18,35,38,46,1,9,7,18,5,0,25,15
hsa-miR-1273h-5p,0,15,0,0,0,0,0,3,0,4,0,6,0,0,0,4,24,5,1,1,0,0,0,1,0,3,0,4,2,15,2,5,1,2,0,8,0,2,0,0,0,0,0,1,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0
